,编号,cluster
0,1,0
1,2,2
2,4,0
3,6,0
4,7,1
5,9,1
6,12,0
7,13,0
8,14,1
9,15,1
10,16,0
11,18,2
12,19,1
13,20,0
14,22,2
15,23,0
16,24,2
17,25,0
18,26,0
19,27,2
20,10,0
